0.0026,-0.0006,-0.0011,0.0003
0.0026,0.0009,-0.0011,-0.0004
0.0026,0.0009,-0.0011,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0037,0.0009,-0.0016,-0.0004
0.0014,-0.0006,-0.0006,0.0003
-0.0009,-0.0006,0.0004,0.0003
-0.002,-0.0006,0.0009,0.0003
0.0003,0.0009,-0.0001,-0.0004
0.0014,0.0009,-0.0006,-0.0004
-0.0009,-0.0006,0.0004,0.0003
-0.0077,-0.0037,0.0033,0.0016
-0.0273,-0.0068,0.0113,0.0028
-0.0536,-0.0114,0.022,0.0047
-0.0858,-0.0175,0.0347,0.0071
-0.1248,-0.019,0.0503,0.0077
-0.1626,-0.0144,0.0647,0.0057
-0.1971,-0.0037,0.0767,0.0014
-0.2269,0.0101,0.0862,-0.0038
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-1,-1,0,0
-0.2372,0.0408,0.0863,-0.0149
-0.2269,0.0469,0.0801,-0.0166
-0.2074,0.0408,0.0734,-0.0144
-0.1867,0.0393,0.0684,-0.0144
-0.1718,0.0408,0.065,-0.0154
-0.1672,0.0439,0.0637,-0.0167
-0.1672,0.0439,0.0636,-0.0167
-0.1695,0.0439,0.0643,-0.0167
-0.1695,0.0439,0.0645,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0645,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0647,-0.0168
-0.1695,0.0439,0.0646,-0.0167
-0.1695,0.0439,0.0646,-0.0167
-0.1672,0.0439,0.0631,-0.0165
-0.1581,0.0408,0.0606,-0.0156
-0.1523,0.0393,0.0581,-0.015
-0.1431,0.0362,0.0551,-0.0139
-0.1374,0.0362,0.0533,-0.0141
-0.1294,0.0331,0.0501,-0.0128
-0.1236,0.0316,0.0484,-0.0124
-0.1167,0.0285,0.0455,-0.0111
-0.1087,0.0255,0.0429,-0.0101
-0.1041,0.0255,0.0409,-0.01
-0.0961,0.0209,0.0381,-0.0083
-0.0904,0.0209,0.0358,-0.0083
-0.0823,0.0163,0.0328,-0.0065
-0.0766,0.0147,0.0307,-0.0059
-0.0697,0.0132,0.0278,-0.0053
-0.0628,0.0101,0.0253,-0.0041
-0.0571,0.0086,0.0228,-0.0034
-0.0491,0.0055,0.0198,-0.0022
-0.0433,0.004,0.0175,-0.0016
-0.0353,0.0009,0.0143,-0.0004
-0.0307,-0.0006,0.0125,0.0003
-0.0238,-0.0037,0.0097,0.0015
-0.0181,-0.0052,0.0074,0.0021
-0.0123,-0.0068,0.005,0.0027
-0.0066,-0.0083,0.0027,0.0034
-0.002,-0.0114,0.0008,0.0046
0.0037,-0.0129,-0.0015,0.0053
0.0083,-0.0144,-0.0034,0.0059
0.0129,-0.016,-0.0053,0.0065
0.0175,-0.0175,-0.0072,0.0072
0.0209,-0.019,-0.0086,0.0078
0.0244,-0.0206,-0.0099,0.0084
0.0278,-0.0206,-0.0114,0.0084
0.0313,-0.0221,-0.0128,0.009
0.0347,-0.0221,-0.0142,0.009
0.037,-0.0221,-0.0151,0.009
0.0393,-0.0236,-0.0161,0.0097
0.0416,-0.0236,-0.017,0.0097
0.0427,-0.0236,-0.0175,0.0097
0.045,-0.0236,-0.0184,0.0097
0.0462,-0.0236,-0.0189,0.0097
0.0473,-0.0236,-0.0193,0.0096
0.0473,-0.0236,-0.0194,0.0097
0.0485,-0.0236,-0.0198,0.0097
0.0485,-0.0221,-0.0198,0.009
0.0485,-0.0221,-0.0198,0.009
0.0496,-0.0221,-0.0203,0.0091
0.0485,-0.0206,-0.0198,0.0084
0.0485,-0.0206,-0.0199,0.0084
0.0473,-0.019,-0.0193,0.0078
0.0462,-0.0175,-0.0189,0.0071
0.045,-0.0175,-0.0184,0.0072
0.0439,-0.016,-0.018,0.0065
0.0439,-0.0144,-0.018,0.0059
0.0416,-0.0129,-0.017,0.0053
0.0404,-0.0114,-0.0165,0.0046
0.0381,-0.0114,-0.0156,0.0047
0.0359,-0.0098,-0.0147,0.004
0.0336,-0.0083,-0.0137,0.0034
0.0324,-0.0068,-0.0133,0.0028
0.0301,-0.0052,-0.0123,0.0021
0.029,-0.0037,-0.0119,0.0015
0.0267,-0.0021,-0.0109,0.0009
0.0244,-0.0006,-0.01,0.0003
0.0221,0.0009,-0.0091,-0.0004
0.0198,0.0009,-0.0081,-0.0004
0.0175,0.0025,-0.0072,-0.001
0.0163,0.004,-0.0067,-0.0016
0.0141,0.0055,-0.0058,-0.0023
0.0118,0.0055,-0.0048,-0.0023
0.0095,0.0071,-0.0039,-0.0029
0.0083,0.0086,-0.0034,-0.0035
0.006,0.0086,-0.0025,-0.0035
0.0037,0.0101,-0.0015,-0.0041
0.0026,0.0101,-0.0011,-0.0041
0.0003,0.0101,-0.0001,-0.0041
-0.0009,0.0117,0.0004,-0.0048
-0.0032,0.0117,0.0013,-0.0048
-0.0043,0.0132,0.0018,-0.0054
-0.0055,0.0132,0.0022,-0.0054
-0.0066,0.0132,0.0027,-0.0054
-0.0077,0.0147,0.0032,-0.006
-0.0089,0.0147,0.0036,-0.006
-0.01,0.0147,0.0041,-0.006
-0.0112,0.0147,0.0046,-0.006
-0.0112,0.0147,0.0046,-0.006
-0.0123,0.0147,0.005,-0.006
-0.0135,0.0132,0.0055,-0.0054
-0.0135,0.0132,0.0055,-0.0054
-0.0135,0.0132,0.0055,-0.0054
-0.0146,0.0132,0.006,-0.0054
-0.0158,0.0132,0.0064,-0.0054
-0.0158,0.0117,0.0064,-0.0048
-0.0158,0.0117,0.0064,-0.0048
-0.0158,0.0117,0.0064,-0.0048
-0.0158,0.0101,0.0065,-0.0041
-0.0158,0.0101,0.0064,-0.0041
-0.0158,0.0086,0.0064,-0.0035
-0.0158,0.0086,0.0064,-0.0035
-0.0146,0.0071,0.006,-0.0029
-0.0146,0.0071,0.006,-0.0029
-0.0146,0.0055,0.006,-0.0023
-0.0146,0.0055,0.006,-0.0023
-0.0135,0.004,0.0055,-0.0016
-0.0135,0.004,0.0055,-0.0016
-0.0123,0.0025,0.005,-0.001
-0.0123,0.0009,0.005,-0.0004
-0.0112,0.0009,0.0046,-0.0004
-0.0112,-0.0006,0.0046,0.0003
-0.01,-0.0006,0.0041,0.0003
-0.01,-0.0006,0.0041,0.0003
-0.0089,-0.0021,0.0036,0.0009
-0.0089,-0.0021,0.0036,0.0009
-0.0077,-0.0037,0.0032,0.0015
-0.0077,-0.0037,0.0032,0.0015
-0.0066,-0.0052,0.0027,0.0021
-0.0066,-0.0052,0.0027,0.0021
-0.0055,-0.0052,0.0022,0.0021
-0.0043,-0.0052,0.0018,0.0021
-0.0043,-0.0068,0.0018,0.0028
