4.577,0.0037,-0.0021,51.11,-0.0015,0.0009,-0.0178
4.647,0.0037,-0.0021,51.359,-0.0015,0.0008,-0.0173
4.71,0.0037,-0.0021,51.554,-0.0015,0.0008,-0.0169
4.777,0.0049,-0.0021,51.737,-0.0019,0.0008,-0.0165
4.844,0.0049,-0.0021,51.807,-0.0019,0.0008,-0.0164
4.905,0.0049,-0.0021,51.948,-0.0019,0.0008,-0.0161
4.963,0.0049,-0.0021,52.134,-0.0019,0.0008,-0.0157
5.03,0.0049,-0.0021,52.263,-0.0019,0.0008,-0.0155
5.097,0.0049,-0.0021,52.407,-0.0019,0.0008,-0.0152
5.177,0.0049,-0.0021,52.596,-0.0019,0.0008,-0.0148
5.244,0.0049,-0.0006,52.727,-0.0019,0.0002,-0.0145
5.311,0.0049,-0.0006,52.873,-0.0019,0.0002,-0.0143
5.375,0.0049,-0.0006,52.932,-0.0019,0.0002,-0.0141
5.444,0.0049,-0.0006,53.066,-0.0019,0.0002,-0.0139
5.512,0.0049,-0.0006,53.334,-0.0019,0.0002,-0.0133
5.579,0.0049,-0.0006,53.408,-0.0018,0.0002,-0.0132
5.649,0.0049,-0.0006,53.544,-0.0018,0.0002,-0.0129
5.707,0.0049,-0.0006,53.68,-0.0018,0.0002,-0.0126
5.777,0.0049,0.0009,53.74,-0.0018,-0.0003,-0.0125
5.844,0.0049,-0.0006,53.969,-0.0018,0.0002,-0.0121
5.907,0.0049,-0.0006,54.155,-0.0018,0.0002,-0.0117
5.977,0.0049,0.0009,54.231,-0.0018,-0.0003,-0.0115
6.043,0.0037,0.0009,54.293,-0.0014,-0.0003,-0.0114
6.111,0.0037,0.0009,54.387,-0.0014,-0.0003,-0.0112
6.177,0.0037,0.0009,54.511,-0.0014,-0.0003,-0.011
6.235,0.0037,0.0009,54.668,-0.0014,-0.0003,-0.0107
6.303,0.0037,0.0009,54.731,-0.0014,-0.0003,-0.0105
6.368,0.0037,0.0009,54.794,-0.0014,-0.0003,-0.0104
6.429,0.0037,0.0009,54.953,-0.0014,-0.0003,-0.0101
6.503,0.0026,0.0009,55.097,-0.0009,-0.0003,-0.0098
6.577,0.0026,0.0009,55.24,-0.0009,-0.0003,-0.0095
6.642,0.0026,0.0025,55.24,-0.0009,-0.0009,-0.0095
6.71,0.0026,0.0025,55.24,-0.0009,-0.0009,-0.0095
6.777,0.0026,0.0025,55.466,-0.0009,-0.0009,-0.0091
6.831,0.0026,0.0025,55.678,-0.0009,-0.0009,-0.0086
6.91,0.0026,0.0009,55.678,-0.0009,-0.0003,-0.0086
6.977,0.0026,0.0025,55.759,-0.0009,-0.0009,-0.0085
7.037,0.0026,0.0025,55.759,-0.0009,-0.0009,-0.0085
7.099,0.0014,0.0009,55.759,-0.0005,-0.0003,-0.0085
7.176,0.0014,0.0025,55.908,-0.0005,-0.0009,-0.0082
7.243,0.0014,0.0025,55.989,-0.0005,-0.0009,-0.008
7.311,0.0014,0.0025,56.055,-0.0005,-0.0009,-0.0079
7.366,0.0014,0.0025,56.205,-0.0005,-0.0009,-0.0076
7.443,0.0014,0.0025,56.271,-0.0005,-0.0009,-0.0075
7.509,0.0014,0.0025,56.439,-0.0005,-0.0009,-0.0071
7.576,0.0014,0.0025,56.439,-0.0005,-0.0009,-0.0071
7.643,0.0014,0.0025,56.522,-0.0005,-0.0009,-0.007
7.7,0.0003,0.0025,56.506,-0.0001,-0.0009,-0.007
7.777,0.0003,0.0025,56.606,-0.0001,-0.0009,-0.0068
7.843,0.0003,0.0025,56.742,-0.0001,-0.0009,-0.0065
7.91,0.0003,0.0025,56.894,-0.0001,-0.0009,-0.0062
7.977,0.0003,0.0025,56.894,-0.0001,-0.0009,-0.0062
8.043,0.0003,0.0025,56.98,-0.0001,-0.0009,-0.006
8.095,0.0003,0.0025,57.134,-0.0001,-0.0009,-0.0057
8.162,0.0003,0.0025,57.134,-0.0001,-0.0009,-0.0057
8.233,0.0003,0.0025,57.049,-0.0001,-0.0009,-0.0059
8.309,0.0003,0.0009,56.607,-0.0001,-0.0003,-0.0068
8.376,0.0003,0.0009,55.973,-0.0001,-0.0003,-0.0081
8.443,0.0003,0.0009,55.466,-0.0001,-0.0003,-0.0091
8.511,0.0003,0.0009,55.016,-0.0001,-0.0003,-0.01
8.575,0.0003,0.0009,54.668,-0.0001,-0.0003,-0.0107
8.642,0.0003,0.0009,54.37,-0.0001,-0.0003,-0.0113
8.71,0.0003,0.0009,54.795,-0.0001,-0.0003,-0.0104
