1 -0.0043 -0.0068 0.0037 0.0058
0.016 -0.0043 -0.0068 0.0037 0.0058
0.019 -0.0043 -0.0068 0.0037 0.0058
0.024 -0.0043 -0.0068 0.0037 0.0058
0.028 -0.0043 -0.0068 0.0037 0.0058
0.032 -0.0032 -0.0068 0.0027 0.0058
0.036 -0.0032 -0.0068 0.0027 0.0058
0.04 -0.002 -0.0083 0.0018 0.0074
0.044 -0.0009 -0.0083 0.0008 0.0074
0.048 0.0003 -0.0083 -0.0003 0.0074
0.052 0.0014 -0.0098 -0.0013 0.0086
0.056 0.0118 -0.016 -0.0101 0.0137
0.061 0.0393 -0.0236 -0.0326 0.0196
0.065 -1 -1 0 0
0.07 -1 -1 0 0
0.109 0.1793 -0.0206 -0.1425 0.0163
0.174 0.1953 -0.0175 -0.1565 0.014
0.242 0.1942 -0.0175 -0.1564 0.0141
0.316 0.1873 -0.016 -0.1503 0.0128
0.383 0.1758 -0.0129 -0.1417 0.0104
0.445 0.1678 -0.0114 -0.1353 0.0092
0.516 0.1701 -0.0129 -0.1364 0.0103
0.584 0.1701 -0.0129 -0.1361 0.0103
0.648 0.1701 -0.0129 -0.1361 0.0103
0.711 0.1701 -0.0129 -0.1361 0.0103
0.775 0.1701 -0.0129 -0.1361 0.0103
0.844 0.1701 -0.0129 -0.1361 0.0103
0.907 0.1701 -0.0129 -0.1364 0.0103
0.98 0.1701 -0.0129 -0.1364 0.0103
1.05 0.1701 -0.0129 -0.1364 0.0103
1.12 0.1701 -0.0129 -0.1364 0.0103
1.175 0.1701 -0.0129 -0.1364 0.0103
1.251 0.1701 -0.0129 -0.1364 0.0103
1.313 0.1701 -0.0129 -0.1364 0.0103
1.371 0.1701 -0.0129 -0.1361 0.0103
1.436 0.1712 -0.0114 -0.1372 0.0091
1.505 0.1712 -0.0083 -0.1375 0.0067
1.575 0.1701 -0.0083 -0.1358 0.0066
1.641 0.1598 -0.0052 -0.1266 0.0041
1.704 0.1426 -0.0052 -0.1153 0.0042
1.783 0.1311 -0.0021 -0.1058 0.0017
1.84 0.1139 -0.0021 -0.0927 0.0017
1.903 0.1001 -0.0006 -0.0826 0.0005
1.971 0.0863 0.0009 -0.0709 -0.0008
2.038 0.0703 0.0025 -0.0583 -0.002
2.103 0.0565 0.0055 -0.0469 -0.0046
2.17 0.0404 0.004 -0.0339 -0.0033
2.237 0.029 0.0086 -0.0241 -0.0072
2.303 0.0118 0.0086 -0.0099 -0.0072
2.37 -0.0009 0.0117 0.0007 -0.0097
2.436 -0.0169 0.0117 0.0141 -0.0097
2.505 -0.0307 0.0132 0.0257 -0.011
2.57 -0.0445 0.0132 0.037 -0.011
2.636 -0.0594 0.0147 0.0495 -0.0123
2.703 -0.0743 0.0178 0.0613 -0.0147
2.77 -0.0881 0.0193 0.0722 -0.0158
2.836 -0.103 0.0193 0.084 -0.0158
2.903 -0.1167 0.0209 0.0956 -0.0171
2.969 -0.1294 0.0224 0.1046 -0.0181
3.036 -0.1431 0.0224 0.1151 -0.018
3.103 -0.1535 0.0224 0.1232 -0.018
3.17 -0.1626 0.0224 0.1299 -0.0179
3.238 -0.1718 0.0224 0.1364 -0.0178
3.304 -0.1787 0.0224 0.1415 -0.0177
3.37 -0.1856 0.0224 0.1462 -0.0176
3.436 -0.189 0.0209 0.1486 -0.0164
3.502 -0.1925 0.0209 0.1509 -0.0164
3.569 -0.1959 0.0193 0.1532 -0.0151
3.635 -0.1948 0.0193 0.1528 -0.0152
3.704 -0.1959 0.0178 0.1532 -0.0139
3.774 -0.1936 0.0163 0.1514 -0.0127
3.847 -0.1913 0.0147 0.1502 -0.0116
3.902 -0.1867 0.0132 0.1468 -0.0104
3.969 -0.1821 0.0101 0.1437 -0.008
4.049 -0.1753 0.0086 0.1386 -0.0068
4.118 -0.1672 0.0071 0.133 -0.0056
4.182 -0.1592 0.004 0.127 -0.0032
4.247 -0.1489 0.0025 0.1192 -0.002
4.304 -0.1374 -0.0006 0.1103 0.0005
4.381 -0.1248 -0.0037 0.1008 0.003
4.447 -0.1133 -0.0052 0.0918 0.0042
4.502 -0.0984 -0.0083 0.0804 0.0068
4.568 -0.0846 -0.0098 0.0692 0.008
4.645 -0.0686 -0.0129 0.0566 0.0106
4.712 -0.0548 -0.0144 0.0453 0.0119
4.775 -0.0364 -0.0175 0.0302 0.0145
4.848 -0.0227 -0.019 0.0188 0.0158
4.905 -0.0066 -0.0206 0.0055 0.017
4.979 0.0106 -0.0236 -0.0088 0.0197
5.048 0.0244 -0.0252 -0.0201 0.0208
5.118 0.0439 -0.0282 -0.0365 0.0235
5.172 0.0565 -0.0282 -0.0465 0.0232
5.239 0.0737 -0.0313 -0.0608 0.0258
5.303 0.0886 -0.0313 -0.0727 0.0257
5.37 0.1035 -0.0328 -0.0846 0.0268
