1 -0.0043 -0.016 60.364 0.0014 0.0054 0.0
0.02 -0.0043 -0.0144 60.193 0.0014 0.0049 0.0
0.023 -0.0043 -0.0144 60.27 0.0014 0.0048 0.0
0.028 -0.0043 -0.0144 60.288 0.0014 0.0049 0.0
0.032 -0.0043 -0.0144 60.193 0.0014 0.0049 0.0
0.037 -0.0043 -0.0144 60.193 0.0014 0.0049 0.0
0.041 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.046 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.05 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.055 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.059 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.064 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.068 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.073 -0.0043 -0.016 60.27 0.0014 0.0054 0.0
0.077 -0.0043 -0.016 60.27 0.0014 0.0054 0.0
0.117 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.199 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.264 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.332 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.396 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.465 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.532 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.598 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.665 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.717 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.784 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.855 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
0.935 -0.0043 -0.016 60.29 0.0014 0.0054 0.0
0.998 -0.0043 -0.016 60.29 0.0014 0.0054 0.0
1.065 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
1.133 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
1.199 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
1.258 -0.0043 -0.016 60.29 0.0014 0.0054 0.0
1.316 -0.0043 -0.016 60.193 0.0014 0.0054 0.0
1.387 -0.0043 -0.0144 60.193 0.0014 0.0049 0.0
1.465 -0.0043 -0.0144 60.443 0.0014 0.0048 0.0009
1.533 -0.0043 -0.0129 60.364 0.0014 0.0043 0.0
1.598 -0.0043 -0.0129 60.462 0.0014 0.0043 0.0009
1.665 -0.0043 -0.0114 60.556 0.0014 0.0038 0.0011
1.724 -0.0066 -0.0098 61.062 0.0022 0.0033 0.0021
1.799 -0.0077 -0.0083 61.898 0.0025 0.0027 0.0038
1.865 -0.01 -0.0083 63.027 0.0032 0.0027 0.0061
1.931 -0.0123 -0.0083 64.679 0.0038 0.0026 0.0094
1.997 -0.0146 -0.0068 66.005 0.0045 0.0021 0.012
2.077 -0.0169 -0.0052 67.722 0.005 0.0015 0.0154
2.13 -0.0181 -0.0037 69.429 0.0052 0.0011 0.0189
2.197 -0.0204 -0.0037 71.171 0.0057 0.001 0.0223
2.263 -0.0215 -0.0021 72.834 0.0059 0.0006 0.0257
