1 -0.0009 0.0285 0.0004 -0.012
0.016 -0.0009 0.0285 0.0004 -0.012
0.019 -0.0009 0.0285 0.0004 -0.012
0.023 -0.0009 0.0285 0.0004 -0.012
0.027 -0.0009 0.0285 0.0004 -0.012
0.031 -0.002 0.0285 0.0008 -0.012
0.035 -0.0009 0.0301 0.0004 -0.0127
0.04 -0.0009 0.0285 0.0004 -0.012
0.044 -0.0009 0.0285 0.0004 -0.012
0.048 -0.0009 0.0301 0.0004 -0.0127
0.052 -0.0009 0.0301 0.0004 -0.0127
0.056 -0.0009 0.0301 0.0004 -0.0127
0.061 -0.002 0.0301 0.0008 -0.0127
0.065 -0.0009 0.0301 0.0004 -0.0127
0.069 -0.0009 0.0301 0.0004 -0.0127
0.129 -0.0009 0.0301 0.0004 -0.0127
0.198 -0.0009 0.0301 0.0004 -0.0127
0.253 -0.002 0.0301 0.0008 -0.0126
0.323 -0.0009 0.0301 0.0004 -0.0127
0.392 -0.002 0.0301 0.0008 -0.0126
0.455 -0.0009 0.0316 0.0004 -0.0133
0.532 -0.0009 0.0316 0.0004 -0.0134
0.597 0.0003 0.0331 -0.0001 -0.014
0.666 -0.0009 0.0331 0.0004 -0.014
0.727 0.0003 0.0331 -0.0001 -0.014
0.799 0.0003 0.0331 -0.0001 -0.014
0.865 0.0026 0.0316 -0.0011 -0.0133
0.922 0.0072 0.0301 -0.003 -0.0126
0.986 0.0186 0.0255 -0.0077 -0.0106
1.063 0.037 0.0224 -0.0153 -0.0093
1.117 0.0622 0.0209 -0.0254 -0.0085
1.188 0.0932 0.0224 -0.0377 -0.0091
1.256 0.1208 0.0178 -0.0493 -0.0073
1.317 0.1345 0.0147 -0.0554 -0.0061
1.388 0.1357 0.0132 -0.0558 -0.0054
1.455 0.1345 0.0117 -0.0553 -0.0048
1.521 0.1311 0.0101 -0.0539 -0.0042
1.584 0.1288 0.0101 -0.053 -0.0042
1.657 0.1276 0.0086 -0.0526 -0.0035
1.724 0.1288 0.0055 -0.053 -0.0023
1.783 0.1288 0.0025 -0.0528 -0.001
1.85 0.1288 0.0009 -0.0528 -0.0004
1.925 0.1288 -0.0006 -0.053 0.0003
1.988 0.1288 -0.0021 -0.053 0.0009
2.05 0.1288 -0.0052 -0.0528 0.0021
2.127 0.1288 -0.0068 -0.0528 0.0028
2.196 0.1288 -0.0083 -0.053 0.0034
2.262 0.1288 -0.0098 -0.053 0.004
2.329 0.1288 -0.0114 -0.0528 0.0047
2.397 0.1265 -0.0129 -0.0518 0.0053
2.451 0.1242 -0.0144 -0.051 0.0059
2.516 0.1208 -0.016 -0.0497 0.0066
2.587 0.115 -0.0175 -0.0473 0.0072
2.663 0.1104 -0.0175 -0.0454 0.0072
2.729 0.1035 -0.019 -0.0427 0.0079
2.797 0.0978 -0.019 -0.0405 0.0079
2.861 0.0921 -0.0206 -0.0381 0.0085
2.921 0.0863 -0.0206 -0.0359 0.0085
2.987 0.0806 -0.0206 -0.0335 0.0085
3.056 0.0737 -0.0221 -0.0307 0.0092
3.119 0.0703 -0.0206 -0.0293 0.0086
3.193 0.0634 -0.0221 -0.0264 0.0092
3.26 0.0588 -0.0206 -0.0246 0.0086
3.318 0.0519 -0.0206 -0.0217 0.0086
3.389 0.0473 -0.0206 -0.0198 0.0086
3.458 0.0416 -0.0206 -0.0174 0.0086
3.519 0.0359 -0.019 -0.015 0.008
3.586 0.0301 -0.019 -0.0126 0.008
3.65 0.0244 -0.019 -0.0102 0.008
3.72 0.0186 -0.0175 -0.0078 0.0073
3.782 0.0129 -0.016 -0.0054 0.0067
3.849 0.0083 -0.016 -0.0035 0.0067
3.922 0.0037 -0.0144 -0.0016 0.006
3.99 -0.0009 -0.0129 0.0004 0.0054
4.056 -0.0066 -0.0129 0.0028 0.0054
4.12 -0.0112 -0.0114 0.0047 0.0048
4.186 -0.0146 -0.0098 0.0061 0.0041
4.251 -0.0181 -0.0083 0.0076 0.0035
4.324 -0.0215 -0.0068 0.009 0.0028
4.389 -0.025 -0.0068 0.0104 0.0028
4.461 -0.0284 -0.0052 0.0119 0.0022
4.529 -0.0318 -0.0037 0.0133 0.0015
4.593 -0.0341 -0.0021 0.0143 0.0009
4.652 -0.0364 -0.0021 0.0152 0.0009
4.728 -0.0376 -0.0006 0.0157 0.0003
4.795 -0.0399 0.0009 0.0166 -0.0004
4.863 -0.041 0.0025 0.0171 -0.001
4.938 -0.0422 0.0025 0.0176 -0.001
4.994 -0.0445 0.004 0.0186 -0.0017
5.063 -0.0445 0.0055 0.0185 -0.0023
5.124 -0.0456 0.0055 0.019 -0.0023
5.186 -0.0456 0.0071 0.019 -0.0029
5.26 -0.0468 0.0086 0.0195 -0.0036
5.327 -0.0456 0.0086 0.019 -0.0036
5.393 -0.0456 0.0101 0.019 -0.0042
5.46 -0.0456 0.0101 0.019 -0.0042
5.518 -0.0445 0.0101 0.0185 -0.0042
5.581 -0.0433 0.0117 0.0181 -0.0049
5.648 -0.0433 0.0117 0.0181 -0.0049
5.729 -0.0422 0.0117 0.0176 -0.0049
5.793 -0.0399 0.0117 0.0166 -0.0049
5.85 -0.0387 0.0132 0.0161 -0.0055
5.926 -0.0376 0.0132 0.0156 -0.0055
5.981 -0.0364 0.0132 0.0152 -0.0055
6.048 -0.0341 0.0132 0.0142 -0.0055
6.128 -0.033 0.0132 0.0138 -0.0055
6.194 -0.0307 0.0132 0.0128 -0.0055
6.258 -0.0284 0.0132 0.0119 -0.0055
6.325 -0.0273 0.0117 0.0114 -0.0049
6.388 -0.025 0.0117 0.0104 -0.0049
6.461 -0.0238 0.0117 0.0099 -0.0049
6.527 -0.0215 0.0117 0.009 -0.0049
6.591 -0.0192 0.0101 0.0081 -0.0042
6.652 -0.0169 0.0101 0.0071 -0.0042
6.729 -0.0146 0.0101 0.0061 -0.0042
6.786 -0.0135 0.0086 0.0056 -0.0036
6.847 -0.0112 0.0086 0.0047 -0.0036
6.913 -0.0089 0.0086 0.0037 -0.0036
6.985 -0.0077 0.0071 0.0032 -0.0029
7.061 -0.0055 0.0071 0.0023 -0.003
7.126 -0.0043 0.0055 0.0018 -0.0023
7.192 -0.002 0.0055 0.0008 -0.0023
7.261 -0.0009 0.004 0.0004 -0.0017
7.326 0.0014 0.004 -0.0006 -0.0017
7.395 0.0026 0.0025 -0.0011 -0.001
7.456 0.0049 0.0025 -0.002 -0.001
7.528 0.006 0.0009 -0.0025 -0.0004
7.591 0.0072 0.0009 -0.003 -0.0004
7.661 0.0083 -0.0006 -0.0035 0.0003
7.723 0.0095 -0.0006 -0.004 0.0003
7.786 0.0106 -0.0006 -0.0044 0.0003
7.847 0.0118 -0.0021 -0.0049 0.0009
7.913 0.0118 -0.0021 -0.0049 0.0009
7.984 0.0129 -0.0037 -0.0054 0.0015
8.057 0.0141 -0.0037 -0.0059 0.0015
8.113 0.0141 -0.0037 -0.0059 0.0015
8.18 0.0152 -0.0052 -0.0064 0.0022
8.249 0.0152 -0.0052 -0.0064 0.0022
8.323 0.0152 -0.0068 -0.0064 0.0028
8.384 0.0152 -0.0068 -0.0064 0.0028
8.456 0.0152 -0.0068 -0.0064 0.0028
8.524 0.0152 -0.0068 -0.0064 0.0028
8.583 0.0163 -0.0068 -0.0069 0.0028
8.655 0.0163 -0.0083 -0.0069 0.0035
8.712 0.0163 -0.0083 -0.0069 0.0035
8.791 0.0163 -0.0083 -0.0069 0.0035
8.846 0.0152 -0.0083 -0.0064 0.0035
8.921 0.0152 -0.0083 -0.0064 0.0035
8.99 0.0141 -0.0083 -0.0059 0.0035
9.046 0.0141 -0.0083 -0.0059 0.0035
9.126 0.0141 -0.0083 -0.0059 0.0035
9.179 0.0129 -0.0083 -0.0054 0.0035
9.251 0.0129 -0.0083 -0.0054 0.0035
9.328 0.0118 -0.0083 -0.0049 0.0035
9.39 0.0118 -0.0068 -0.0049 0.0028
9.45 0.0106 -0.0068 -0.0045 0.0028
9.512 0.0106 -0.0068 -0.0045 0.0028
9.58 0.0095 -0.0068 -0.004 0.0028
9.648 0.0095 -0.0068 -0.004 0.0028
9.722 0.0083 -0.0068 -0.0035 0.0028
9.783 0.0072 -0.0052 -0.003 0.0022
9.852 0.0072 -0.0052 -0.003 0.0022
9.913 0.006 -0.0052 -0.0025 0.0022
9.983 0.0049 -0.0037 -0.002 0.0015
10.055 0.0049 -0.0037 -0.002 0.0015
10.126 0.0037 -0.0037 -0.0016 0.0016
10.191 0.0037 -0.0037 -0.0016 0.0015
10.257 0.0026 -0.0021 -0.0011 0.0009
10.317 0.0026 -0.0021 -0.0011 0.0009
10.391 0.0014 -0.0006 -0.0006 0.0003
10.457 0.0003 -0.0006 -0.0001 0.0003
10.524 0.0003 -0.0006 -0.0001 0.0003
10.591 -0.0009 0.0009 0.0004 -0.0004
10.649 -0.0009 0.0009 0.0004 -0.0004
10.711 -0.002 0.0009 0.0008 -0.0004
10.785 -0.002 0.0025 0.0008 -0.001
10.855 -0.0032 0.0025 0.0013 -0.001
10.926 -0.0032 0.0025 0.0013 -0.001
10.988 -0.0032 0.0025 0.0013 -0.001
11.059 -0.0043 0.0025 0.0018 -0.001
11.114 -0.0043 0.004 0.0018 -0.0017
11.182 -0.0043 0.004 0.0018 -0.0017
11.251 -0.0055 0.004 0.0023 -0.0017
11.315 -0.0055 0.004 0.0023 -0.0017
11.389 -0.0055 0.004 0.0023 -0.0017
11.452 -0.0055 0.0055 0.0023 -0.0023
11.513 -0.0055 0.0055 0.0023 -0.0023
11.592 -0.0055 0.0055 0.0023 -0.0023
11.653 -0.0066 0.0055 0.0028 -0.0023
11.724 -0.0055 0.0055 0.0023 -0.0023
11.778 -0.0066 0.0055 0.0028 -0.0023
11.847 -0.0055 0.0055 0.0023 -0.0023
11.92 -0.0066 0.0055 0.0028 -0.0023
11.978 -0.0055 0.0055 0.0023 -0.0023
12.044 -0.0066 0.0055 0.0028 -0.0023
12.122 -0.0055 0.0055 0.0023 -0.0023
12.191 -0.0055 0.0055 0.0023 -0.0023
12.257 -0.0055 0.0055 0.0023 -0.0023
12.323 -0.0055 0.0055 0.0023 -0.0023
12.391 -0.0055 0.004 0.0023 -0.0017
12.457 -0.0055 0.0055 0.0023 -0.0023
12.521 -0.0043 0.004 0.0018 -0.0017
